ROHC/CO,1.4,1.5,1.6,1.7,1.8,1.9,2,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,2.9,3,3.1,3.2,3.3,3.4,3.5
-1,26.4,21.9,20.2,19.7,19.4,19.3,19.2,19.1,18.9,18.8,33.4,18.9,19.2,19.6,815208.0,815208.0,815208.0,815208.0,,,,
-1.1,815208.0,815208.0,815208.0,815208.0,815208.0,815208.0,815208.0,815208.0,815208.0,815208.0,815208.0,815208.0,815208.0,815208.0,815208.0,815208.0,815208.0,815208.0,,,,
-1.2,815208.0,815208.0,815208.0,815208.0,815208.0,815208.0,815208.0,815208.0,815208.0,815208.0,815208.0,815208.0,815208.0,815208.0,815208.0,19.8,815208.0,815208.0,,,,
-1.3,815208.0,815208.0,815208.0,815208.0,815208.0,815208.0,815208.0,815208.0,815208.0,815208.0,815208.0,815208.0,815208.0,815208.0,815208.0,815208.0,815208.0,815208.0,,,,
-1.4,815208.0,815208.0,815208.0,815208.0,815208.0,815208.0,815208.0,815208.0,815208.0,815208.0,815208.0,815208.0,815208.0,815208.0,815208.0,815208.0,815208.0,20.6,,,,
-1.5,815208.0,815208.0,815208.0,815208.0,815208.0,815208.0,815208.0,815208.0,815208.0,815208.0,815208.0,815208.0,815208.0,815208.0,815208.0,815208.0,815208.0,815208.0,,,,
-1.6,815208.0,815208.0,815208.0,815208.0,815208.0,815208.0,815208.0,815208.0,815208.0,815208.0,815208.0,815208.0,815208.0,815208.0,815208.0,815208.0,815208.0,815208.0,,,,
-1.7,815208.0,815208.0,815208.0,815208.0,815208.0,815208.0,815208.0,815208.0,815208.0,815208.0,815208.0,815208.0,815208.0,815208.0,815208.0,815208.0,815208.0,815208.0,,,,
-1.8,815208.0,815208.0,815208.0,815208.0,815208.0,815208.0,815208.0,815208.0,815208.0,815208.0,815208.0,815208.0,815208.0,815208.0,815208.0,815208.0,815208.0,815208.0,,,,
-1.9,815208.0,815208.0,815208.0,815208.0,815208.0,815208.0,815208.0,815208.0,815208.0,815208.0,815208.0,815208.0,815208.0,815208.0,815208.0,815208.0,815208.0,815208.0,,,,
-2,815208.0,815208.0,815208.0,815208.0,815208.0,815208.0,815208.0,815208.0,815208.0,815208.0,815208.0,815208.0,815208.0,815208.0,815208.0,815208.0,815208.0,815208.0,,,,
