ROHC/CO,1.4,1.5,1.6,1.7,1.8,1.9,2,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,2.9,3,3.1,3.2,3.3,3.4,3.5
1.0,"1.0, 1.4, 2.1","1.0, 1.5, 2.1","1.0, 1.6, 5.8","1.0, 1.7, 10.8","1.0, 1.8, 16.1","1.0, 1.9, 20.9","1.0, 2, 25.2","1.0, 2.1, 28.8","1.0, 2.2, 31.9","1.0, 2.3, 33.0","1.0, 2.4, 33.4","1.0, 2.5, 33.1","1.0, 2.6, 32.9","1.0, 2.7, 815208.0","1.0, 2.8, 815208.0","1.0, 2.9, 815208.0","1.0, 3, 815208.0","1.0, 3.1, 815208.0","1.0, 3.2, nan","1.0, 3.3, nan","1.0, 3.4, nan","1.0, 3.5, nan"
0.9,"0.9, 1.4, 3.2","0.9, 1.5, 3.1","0.9, 1.6, 6.6","0.9, 1.7, 11.5","0.9, 1.8, 16.6","0.9, 1.9, 21.3","0.9, 2, 25.4","0.9, 2.1, 28.9","0.9, 2.2, 31.9","0.9, 2.3, 34.3","0.9, 2.4, 34.2","0.9, 2.5, 34.2","0.9, 2.6, 34.1","0.9, 2.7, 815208.0","0.9, 2.8, 815208.0","0.9, 2.9, 815208.0","0.9, 3, 815208.0","0.9, 3.1, 815208.0","0.9, 3.2, nan","0.9, 3.3, nan","0.9, 3.4, nan","0.9, 3.5, nan"
0.8,"0.8, 1.4, 4.7","0.8, 1.5, 4.4","0.8, 1.6, 7.7","0.8, 1.7, 12.4","0.8, 1.8, 17.3","0.8, 1.9, 21.8","0.8, 2, 25.8","0.8, 2.1, 29.2","0.8, 2.2, 32.0","0.8, 2.3, 34.4","0.8, 2.4, 35.2","0.8, 2.5, 35.4","0.8, 2.6, 35.5","0.8, 2.7, 815208.0","0.8, 2.8, 815208.0","0.8, 2.9, 815208.0","0.8, 3, 815208.0","0.8, 3.1, 815208.0","0.8, 3.2, nan","0.8, 3.3, nan","0.8, 3.4, nan","0.8, 3.5, nan"
0.7,"0.7, 1.4, 6.6","0.7, 1.5, 6.1","0.7, 1.6, 9.1","0.7, 1.7, 13.6","0.7, 1.8, 18.3","0.7, 1.9, 22.7","0.7, 2, 26.4","0.7, 2.1, 29.7","0.7, 2.2, 32.4","0.7, 2.3, 28.7","0.7, 2.4, 36.2","0.7, 2.5, 36.8","0.7, 2.6, 37.0","0.7, 2.7, 815208.0","0.7, 2.8, 815208.0","0.7, 2.9, 815208.0","0.7, 3, 815208.0","0.7, 3.1, 815208.0","0.7, 3.2, nan","0.7, 3.3, nan","0.7, 3.4, nan","0.7, 3.5, nan"
0.6,"0.6, 1.4, 8.9","0.6, 1.5, 8.2","0.6, 1.6, 11.0","0.6, 1.7, 15.3","0.6, 1.8, 19.7","0.6, 1.9, 23.8","0.6, 2, 27.4","0.6, 2.1, 30.5","0.6, 2.2, 33.5","0.6, 2.3, 28.7","0.6, 2.4, 37.2","0.6, 2.5, 38.2","0.6, 2.6, 38.8","0.6, 2.7, 815208.0","0.6, 2.8, 815208.0","0.6, 2.9, 815208.0","0.6, 3, 815208.0","0.6, 3.1, 815208.0","0.6, 3.2, nan","0.6, 3.3, nan","0.6, 3.4, nan","0.6, 3.5, nan"
0.5,"0.5, 1.4, 11.6","0.5, 1.5, 10.7","0.5, 1.6, 13.3","0.5, 1.7, 17.3","0.5, 1.8, 21.5","0.5, 1.9, 25.3","0.5, 2, 28.7","0.5, 2.1, 31.6","0.5, 2.2, 34.1","0.5, 2.3, 42.4","0.5, 2.4, 37.9","0.5, 2.5, #VALUE!","0.5, 2.6, 40.7","0.5, 2.7, 815208.0","0.5, 2.8, 815208.0","0.5, 2.9, 815208.0","0.5, 3, 815208.0","0.5, 3.1, 815208.0","0.5, 3.2, nan","0.5, 3.3, nan","0.5, 3.4, nan","0.5, 3.5, nan"
0.4,"0.4, 1.4, 14.7","0.4, 1.5, 13.4","0.4, 1.6, 15.8","0.4, 1.7, 19.5","0.4, 1.8, 23.4","0.4, 1.9, 27.0","0.4, 2, 30.1","0.4, 2.1, 32.9","0.4, 2.2, 35.2","0.4, 2.3, 37.1","0.4, 2.4, 38.8","0.4, 2.5, #VALUE!","0.4, 2.6, #VALUE!","0.4, 2.7, 815208.0","0.4, 2.8, 815208.0","0.4, 2.9, 815208.0","0.4, 3, 815208.0","0.4, 3.1, 815208.0","0.4, 3.2, nan","0.4, 3.3, nan","0.4, 3.4, nan","0.4, 3.5, nan"
0.3,"0.3, 1.4, 17.9","0.3, 1.5, 16.3","0.3, 1.6, 18.3","0.3, 1.7, 21.6","0.3, 1.8, 25.2","0.3, 1.9, 28.5","0.3, 2, 31.4","0.3, 2.1, 33.9","0.3, 2.2, 36.1","0.3, 2.3, 38.0","0.3, 2.4, #VALUE!","0.3, 2.5, #VALUE!","0.3, 2.6, #VALUE!","0.3, 2.7, 815208.0","0.3, 2.8, 815208.0","0.3, 2.9, 815208.0","0.3, 3, 815208.0","0.3, 3.1, 815208.0","0.3, 3.2, nan","0.3, 3.3, nan","0.3, 3.4, nan","0.3, 3.5, nan"
0.2,"0.2, 1.4, 21.0","0.2, 1.5, 19.0","0.2, 1.6, 20.6","0.2, 1.7, 23.5","0.2, 1.8, 26.7","0.2, 1.9, 29.6","0.2, 2, 32.2","0.2, 2.1, 34.5","0.2, 2.2, 36.5","0.2, 2.3, 38.3","0.2, 2.4, 39.8","0.2, 2.5, 41.2","0.2, 2.6, 42.4","0.2, 2.7, 815208.0","0.2, 2.8, 815208.0","0.2, 2.9, 815208.0","0.2, 3, 815208.0","0.2, 3.1, 815208.0","0.2, 3.2, nan","0.2, 3.3, nan","0.2, 3.4, nan","0.2, 3.5, nan"
0.1,"0.1, 1.4, 23.6","0.1, 1.5, 21.2","0.1, 1.6, 22.4","0.1, 1.7, 24.9","0.1, 1.8, 27.6","0.1, 1.9, 30.2","0.1, 2, 32.5","0.1, 2.1, 34.5","0.1, 2.2, 36.2","0.1, 2.3, 37.8","0.1, 2.4, 39.2","0.1, 2.5, 40.5","0.1, 2.6, 41.8","0.1, 2.7, 815208.0","0.1, 2.8, 815208.0","0.1, 2.9, 815208.0","0.1, 3, 815208.0","0.1, 3.1, 815208.0","0.1, 3.2, nan","0.1, 3.3, nan","0.1, 3.4, nan","0.1, 3.5, nan"
